date,product,category,quantity,unit_price,revenue,region,salesperson
2024-01-19,Widget A,Electronics,65,29.99,1949.35,South,Bob Smith
2024-01-20,Gadget B,Electronics,55,49.99,2749.45,East,Charlie Brown
2024-01-20,Widget C,Home,45,19.99,899.55,West,Diana Prince
2024-01-21,Widget A,Electronics,50,29.99,1499.50,North,Alice Johnson
2024-01-21,Gadget D,Home,40,39.99,1599.60,South,Bob Smith
2024-01-22,Widget B,Electronics,60,34.99,2099.40,East,Charlie Brown
2024-01-22,Widget C,Home,70,19.99,1399.30,West,Diana Prince
2024-01-23,Gadget B,Electronics,35,49.99,1749.65,North,Alice Johnson
2024-01-23,Widget A,Electronics,55,29.99,1649.45,South,Bob Smith
2024-01-24,Widget C,Home,50,19.99,999.50,East,Charlie Brown
2024-01-24,Gadget D,Home,45,39.99,1799.55,West,Diana Prince
2024-01-25,Widget B,Electronics,45,34.99,1574.55,North,Alice Johnson
2024-01-25,Widget A,Electronics,70,29.99,2099.30,South,Bob Smith
2024-01-26,Gadget B,Electronics,60,49.99,2999.40,East,Charlie Brown
2024-01-26,Widget C,Home,35,19.99,699.65,West,Diana Prince
2024-01-27,Widget A,Electronics,40,29.99,1199.60,North,Alice Johnson
2024-01-27,Gadget D,Home,55,39.99,2199.45,South,Bob Smith
2024-01-28,Widget B,Electronics,55,34.99,1924.45,East,Charlie Brown
2024-01-28,Widget C,Home,60,19.99,1199.40,West,Diana Prince
2024-01-29,Gadget B,Electronics,45,49.99,2249.55,North,Alice Johnson
2024-01-29,Widget A,Electronics,50,29.99,1499.50,South,Bob Smith
2024-01-30,Widget C,Home,65,19.99,1299.35,East,Charlie Brown
2024-01-30,Gadget D,Home,50,39.99,1999.50,West,Diana Prince
2024-01-31,Widget B,Electronics,50,34.99,1749.50,North,Alice Johnson
2024-01-31,Widget A,Electronics,60,29.99,1799.40,South,Bob Smith
2024-02-01,Gadget B,Electronics,40,49.99,1999.60,East,Charlie Brown
2024-02-01,Widget C,Home,55,19.99,1099.45,West,Diana Prince
2024-02-02,Widget A,Electronics,75,29.99,2249.25,North,Alice Johnson
2024-02-02,Gadget D,Home,45,39.99,1799.55,South,Bob Smith
2024-02-03,Widget B,Electronics,35,34.99,1224.65,East,Charlie Brown
2024-02-03,Widget C,Home,70,19.99,1399.30,West,Diana Prince
2024-02-04,Gadget B,Electronics,55,49.99,2749.45,North,Alice Johnson
2024-02-04,Widget A,Electronics,45,29.99,1349.55,South,Bob Smith
2024-02-05,Widget C,Home,40,19.99,799.60,East,Charlie Brown
2024-02-05,Gadget D,Home,60,39.99,2399.40,West,Diana Prince
2024-02-06,Widget B,Electronics,60,34.99,2099.40,North,Alice Johnson
2024-02-06,Widget A,Electronics,55,29.99,1649.45,South,Bob Smith
2024-02-07,Gadget B,Electronics,50,49.99,2499.50,East,Charlie Brown
2024-02-07,Widget C,Home,45,19.99,899.55,West,Diana Prince
2024-02-08,Widget A,Electronics,65,29.99,1949.35,North,Alice Johnson
2024-02-08,Gadget D,Home,35,39.99,1399.65,South,Bob Smith
2024-02-09,Widget B,Electronics,40,34.99,1399.60,East,Charlie Brown
2024-02-09,Widget C,Home,75,19.99,1499.25,West,Diana Prince
2024-02-10,Gadget B,Electronics,45,49.99,2249.55,North,Alice Johnson
2024-02-10,Widget A,Electronics,50,29.99,1499.50,South,Bob Smith
2024-02-11,Widget C,Home,50,19.99,999.50,East,Charlie Brown
2024-02-11,Gadget D,Home,55,39.99,2199.45,West,Diana Prince
2024-02-12,Widget B,Electronics,55,34.99,1924.45,North,Alice Johnson
2024-02-12,Widget A,Electronics,70,29.99,2099.30,South,Bob Smith
2024-02-13,Gadget B,Electronics,35,49.99,1749.65,East,Charlie Brown
2024-02-13,Widget C,Home,60,19.99,1199.40,West,Diana Prince
2024-02-14,Widget A,Electronics,80,29.99,2399.20,North,Alice Johnson
2024-02-14,Gadget D,Home,65,39.99,2599.35,South,Bob Smith
2024-02-15,Widget B,Electronics,45,34.99,1574.55,East,Charlie Brown
2024-02-15,Widget C,Home,55,19.99,1099.45,West,Diana Prince
2024-02-16,Gadget B,Electronics,60,49.99,2999.40,North,Alice Johnson
2024-02-16,Widget A,Electronics,40,29.99,1199.60,South,Bob Smith
2024-02-17,Widget C,Home,65,19.99,1299.35,East,Charlie Brown
2024-02-17,Gadget D,Home,50,39.99,1999.50,West,Diana Prince
2024-02-18,Widget B,Electronics,50,34.99,1749.50,North,Alice Johnson
2024-02-18,Widget A,Electronics,55,29.99,1649.45,South,Bob Smith
2024-02-19,Gadget B,Electronics,40,49.99,1999.60,East,Charlie Brown
2024-02-19,Widget C,Home,70,19.99,1399.30,West,Diana Prince
2024-02-20,Widget A,Electronics,60,29.99,1799.40,North,Alice Johnson
2024-02-20,Gadget D,Home,45,39.99,1799.55,South,Bob Smith
